id,name,tier,city,conference,division,enrollment,student_faculty_ratio,acceptance_rate,out_of_state_cost,drive_to_canadian_border,drive_hours,us_news_rank,head_coach,contact,questionnaire,summary,verdict,profile_complete
smu,SMU,core,"Dallas, Texas",ACC,NCAA D1,12000,11:1,~53%,"$69,722",21–22 hr,21.5,#88,Kevin Hudson,khudson@smu.edu,,"Defending ACC champions, and the one big-name school where CS isn't gated.","Blue-chip soccer, elite teaching ratios, unrestricted CS. The cost is the barrier at nearly $70,000.",True
ucf,UCF,core,"Orlando, Florida",Sun Belt,NCAA D1,69000,28:1,40%,"$24,076",20–21 hr,20.5,#117,Scott Calabrese,anyquist@athletics.ucf.edu,Recruit Questionnaire in the men's soccer nav,Reigning Sun Belt champions who beat Kentucky and Marshall on the road to get there.,"Cheap, warm, winning, and one flight from Toronto. The class sizes are the honest cost.",True
usf,USF,core,"Tampa, Florida",American,NCAA D1,50000,21:1,43%,—,22 hr,22,#88,George Kiefer,gkiefer@usf.edu,college.jumpforward.com/questionnaire.aspx?iid=1625&sportid=21,"The strongest MLS pipeline on the list, mid-rebuild with 22 newcomers.",A brand-new staff rebuilding from scratch is the most open door on the Core 12 — and the most uncertain.,True
south-carolina,South Carolina,core,"Columbia, South Carolina",Sun Belt,NCAA D1,36000,19:1,~64%,"$37,376",14 hr,14,#127,Tony Annan,Not published,gamecocksonline.com/news/2018/06/21/ot-recruiting-questionnaires-html,"Ranked No. 6 nationally, and the best crowds in American college soccer.","A top-six program, the best atmosphere in the country, the top-ranked international business degree, and forgiving admissions. The airport is the only real weakness.",True
ohio-state,Ohio State,core,"Columbus, Ohio",Big Ten,NCAA D1,66000,14:1,35–40% out-of-state,"$42,423",3–3.5 hr,3.25,#41,Brian Maisonneuve,maisonneuve.2@osu.edu,ohiostatebuckeyes.com/feature/recruiting,"Best-balanced school on the list — top-five soccer, top-15 public, three hours from the border.","If one school has to balance soccer, academics and travel, this is it.",True
penn-state,Penn State,core,"University Park, Pennsylvania",Big Ten,NCAA D1,48000,15:1,54–61%,"$43,490",4.5 hr,4.5,#59,Rob Dow,msoc@athletics.psu.edu,gopsusports.com/prospective-athlete-forms,A Canadian national-championship coach in year one of a rebuild.,Highest-upside situation on the Core 12. A championship coach who needs players will give minutes — if you can absorb a three-year rebuild.,True
boston-university,Boston University,core,"Boston, Massachusetts",Patriot League,NCAA D1,37000,10:1,11%,"$71,372",5 hr,5,#42,Kevin Nylen,knylen@bu.edu,questionnaires.armssoftware.com/3585708e2ece,"Best teaching ratio on the list, and the most reachable coaching staff.","Small classes, real soccer, an easy staff to contact. The price and the admission rate are the gates.",True
northeastern,Northeastern,core,"Boston, Massachusetts",CAA,NCAA D1,30000,16:1,5.2%,"$69,289",5 hr,5,#46,Jeremy Bonomo,Not published,nuhuskies.com/sports/2012/8/16/GEN_0816125026.aspx,"Strongest academics on either list, weakest soccer on the Core 12. That trade is the whole story.","If soccer is the route into an institution otherwise out of reach, this is the clearest example of that trade anywhere here.",True
ucsb,UC Santa Barbara,core,"Goleta, California",Big West → West Coast 2027,NCAA D1,26000,17:1,~32% (51% out-of-state),"~$80,000 all-in",18–19 hr,18.5,#40,Tim Vom Steeg,menssoccer@athletics.ucsb.edu,ucsbmenssoccer.exposure.co,The only national champion here — and the only school that fails the business requirement outright.,"The best soccer pedigree available — unless a business degree is a requirement, in which case it's out.",True
njit,NJIT,core,"Newark, New Jersey",America East,NCAA D1,12000,16:1,65%,"$39,912",7 hr,7,#80,Fernando Barboto,barboto@njit.edu,njithighlanders.com/sports/2008/8/28/compliance_rules_prospective_SA,"Best financial outcome on the Core 12, and the best airport access.","Best return on investment here, if the subject fit is right and you can finish the degree.",True
